iter	RMSE
603	0.2318172944
604	0.2317559125
605	0.2316500463
606	0.2315695332
607	0.2315038749
608	0.2314767775
609	0.2314138478
610	0.2313674568
611	0.2313172645
612	0.2312796504
613	0.2312168145
614	0.2311592079
615	0.2310836206
616	0.2310498009
617	0.2310201769
618	0.2309824752
619	0.2309478745
620	0.2309165557
621	0.2308761469
622	0.2308488106
623	0.230818069
624	0.2307809683
625	0.2307213358
626	0.2306783826
627	0.2306516342
628	0.2306227958
629	0.2305515841
630	0.2304775579
631	0.2304204798
632	0.2303613458
633	0.2303108296
634	0.2302656107
635	0.2302212621
636	0.2301758252
637	0.230125867
638	0.2300851963
639	0.2300360163
640	0.2299850069
641	0.2299541723
642	0.2299072397
643	0.2298770923
644	0.229818349
645	0.2297885297
646	0.229744073
647	0.2296767292
648	0.2296472973
649	0.2296151104
650	0.2295787863
651	0.2295252952
652	0.229434413
653	0.2294006422
654	0.2293152305
655	0.2292961223
656	0.2292519281
657	0.2292201895
658	0.2291630139
659	0.2290949853
660	0.2290407142
661	0.2290096737
662	0.2289261162
663	0.2288659654
664	0.2287896232
665	0.2287454765
666	0.2286954181
667	0.2286617896
668	0.2286432224
669	0.2285654697
670	0.228490211
671	0.2284732085
672	0.2284129828
673	0.2283781339
674	0.2283390532
675	0.2282850479
676	0.2282398138
677	0.2281879085
678	0.2281299597
679	0.2280860826
680	0.2280653176
681	0.228016284
682	0.2279844151
683	0.2279705344
684	0.2279207551
685	0.2278621895
686	0.2278178034
687	0.2277523415
688	0.2276970329
689	0.2276396378
690	0.2275880221
691	0.2275449371
692	0.227536606
693	0.2275074548
694	0.2274722565
695	0.2274287958
696	0.2273387068
697	0.2273126161
698	0.227262188
699	0.2272373523
700	0.2271984029
701	0.2271701067
702	0.2271157649
703	0.22707384
704	0.2270465115
705	0.2269663562
706	0.2269092148
707	0.226890132
708	0.2268648801
709	0.2268050896
710	0.2267766923
711	0.2267334514
712	0.2267025323
713	0.2266587652
714	0.2266150617
715	0.2265342274
716	0.2265144472
717	0.2264815095
718	0.2264013547
719	0.2263574317
720	0.2263253382
721	0.2262864495
722	0.2262154902
723	0.2261603161
724	0.2261380163
725	0.2261185878
726	0.2260862171
727	0.2260671868
728	0.2260226539
729	0.2259749869
730	0.2258863728
731	0.2258444455
732	0.2258001403
733	0.2257631048
734	0.2257293119
735	0.2257031618
736	0.2256733544
737	0.225593636
738	0.2255134483
739	0.2254496381
740	0.2254064106
741	0.225383167
742	0.2253491557
743	0.225323169
744	0.225267869
745	0.2252371254
746	0.2251730583
747	0.2251447008
748	0.2251222327
749	0.2250775095
750	0.2250097716
751	0.2249629931
752	0.2249413628
753	0.2248996074
754	0.2248207105
755	0.2247545612
756	0.2247139441
757	0.2246873685
758	0.224657886
759	0.2246200853
760	0.2245954612
761	0.2245528366
762	0.2245372134
763	0.2245043117
764	0.2244493901
765	0.2244131083
766	0.2244027767
767	0.2243770332
768	0.2243440659
769	0.2242899345
770	0.2242291113
771	0.2241699695
772	0.2241158205
773	0.2240925772
774	0.2240652756
775	0.2239967611
776	0.2239790497
777	0.2239589779
778	0.223929148
779	0.2238922134
780	0.2238512074
781	0.2238091418
782	0.2237702602
783	0.2237243988
784	0.2236727689
785	0.2236132247
786	0.2235560372
787	0.2235280395
788	0.2234897412
789	0.2234541554
790	0.2234073229
791	0.2233951246
792	0.2233518636
793	0.2232983224
794	0.2232741531
795	0.2232387829
796	0.2232269509
797	0.2232018187
798	0.2231713848
799	0.2231350516
800	0.223094164
801	0.2230549618
802	0.2230121948
803	0.2229684351
804	0.2229171696
805	0.2228651838
806	0.2228295231
807	0.2227759444
808	0.2227362471
809	0.2227000137
810	0.2226693263
811	0.2226391475
812	0.2226176747
813	0.2226055725
814	0.2225213192
815	0.2224709119
816	0.2224471409
817	0.2224256305
818	0.222404767
819	0.2223552718
820	0.2223042116
821	0.2222708729
822	0.222206511
823	0.2221813932
824	0.2221629264
825	0.2221291103
826	0.2220979043
827	0.2220356095
828	0.2220153848
829	0.2219528965
830	0.2219065953
831	0.2218763931
832	0.2218454652
833	0.2217876397
834	0.2217581741
835	0.2217271438
836	0.2216814872
837	0.2216316573
838	0.2215869707
839	0.2215561331
840	0.2215061332
841	0.2214965992
842	0.2214666143
843	0.2214323425
844	0.2213973717
845	0.2213773886
846	0.2213650508
847	0.2213049374
848	0.2212614409
849	0.2212194744
850	0.2211949175
851	0.2211205217
852	0.2210960958
853	0.2210630956
854	0.2210200678
855	0.2209693144
856	0.2209287609
857	0.2208961881
858	0.2208647227
859	0.2208032603
860	0.2207565752
861	0.2207312618
862	0.2207015319
863	0.220683057
864	0.2206601029
865	0.2206198873
866	0.2206117834
867	0.2205472982
868	0.2205171356
869	0.2204672704
870	0.2204425016
871	0.2203995507
872	0.2203555878
873	0.2203169694
874	0.220267129
875	0.2202231212
876	0.2201882733
877	0.2201739132
878	0.2201491583
879	0.2201119733
880	0.2200770638
881	0.220035118
882	0.2199989299
883	0.2199699788
884	0.2199214835
885	0.2198679143
886	0.2198056125
887	0.2197671422
888	0.2197280706
889	0.2196776666
890	0.2196454653
891	0.2196203309
892	0.2195766043
893	0.219548663
894	0.2194937421
895	0.219460181
896	0.2194447804
897	0.2194156291
898	0.2193698931
899	0.219335743
900	0.219301
901	0.2192617589
902	0.2191928119
903	0.2191464007
904	0.2190931699
905	0.2190621485
906	0.2190255604
907	0.2189907884
908	0.218939471
909	0.2188963422
910	0.2188610394
911	0.2188288632
912	0.2188123655
913	0.2188024555
914	0.2187613121
915	0.2187056064
916	0.2186738692
917	0.2186375009
918	0.2186058337
919	0.2185610044
920	0.2185365593
921	0.2185094082
922	0.2184492889
923	0.2184290148
924	0.2183436623
925	0.2183158421
926	0.218266671
927	0.2182309928
928	0.2182233761
929	0.2181958913
930	0.2181588486
931	0.2181205633
932	0.2180996234
933	0.2180631906
934	0.2180523276
935	0.2179929612
936	0.2179621954
937	0.2179296491
938	0.217899902
939	0.2178678754
940	0.2178431918
941	0.2178199109
942	0.2177961422
943	0.2177604313
944	0.2177326213
945	0.2176988648
946	0.2176676632
947	0.2176294755
948	0.2175968355
949	0.217548992
950	0.2175130281
951	0.2174715798
952	0.2174327325
953	0.2173986511
954	0.2173473871
955	0.2173307397
956	0.2173220966
957	0.2172800182
958	0.2172585931
959	0.2172431574
960	0.2172065732
961	0.217156124
962	0.2171239406
963	0.2171007532
964	0.217073649
965	0.2170487229
966	0.2169981367
967	0.2169612434
968	0.2168925274
969	0.2168586372
970	0.216816857
971	0.2167956781
972	0.216771077
973	0.2167323388
974	0.2166776226
975	0.2166469294
976	0.2166299425
977	0.2165709229
978	0.2165133121
979	0.2164065611
980	0.2163979779
981	0.2163627094
982	0.216333252
983	0.216300332
984	0.2162489772
985	0.2162104174
986	0.2161808295
987	0.2161730481
988	0.21614975
989	0.2161203802
990	0.2160819295
991	0.2160620378
992	0.2160234488
993	0.2160034278
994	0.2159444114
995	0.2159018489
996	0.2158767964
997	0.2158191543
998	0.2158141914
999	0.215762582
